Name,Height,Weight,Drink,Age,PLZ,Einkommen,Kaeufer
Unbekannt,158,69,Nein,74,45350,73976,Nein
Unbekannt,155,103,Gelegentlich,29,14369,109688,Nein
Unbekannt,164,62,Gelegentlich,72,82649,82761,Nein
Unbekannt,153,112,Nein,61,60585,51629,Ja
Unbekannt,188,98,Nein,35,35356,98810,Nein
Unbekannt,198,85,Nein,70,33875,55640,Nein
Unbekannt,162,83,Nein,42,28696,47330,Ja
Unbekannt,181,71,Oft,65,69537,24437,Ja
Unbekannt,173,110,Gelegentlich,47,48318,90637,Nein
Unbekannt,160,74,Nein,40,10625,84172,Ja
Unbekannt,161,81,Nein,43,65442,86012,Ja
Unbekannt,160,86,Oft,28,64107,63891,Ja
Unbekannt,197,100,Gelegentlich,40,53763,91022,Nein
Unbekannt,176,79,Nein,47,70357,107471,Nein
Unbekannt,191,107,Oft,72,35572,49077,Nein
Unbekannt,160,63,Oft,42,82565,68862,Nein
Unbekannt,162,105,Gelegentlich,72,21373,46868,Nein
Unbekannt,193,92,Nein,62,75574,56178,Nein
Unbekannt,176,80,Oft,56,40623,51629,Ja
Unbekannt,200,64,Nein,62,66798,77249,Ja
Unbekannt,160,57,Nein,48,22013,25052,Ja
Unbekannt,199,76,Gelegentlich,47,64733,67983,Ja
Unbekannt,170,57,Oft,74,61783,24201,Nein
Unbekannt,173,82,Gelegentlich,35,26214,107815,Nein
Unbekannt,169,63,Gelegentlich,54,25509,26109,Ja
Unbekannt,158,103,Oft,54,70282,86814,Nein
Unbekannt,192,110,Oft,26,63354,39822,Ja
Unbekannt,160,67,Oft,27,56660,37983,Ja
Unbekannt,193,97,Gelegentlich,50,29302,96466,Nein
Unbekannt,171,59,Nein,25,66020,78359,Ja
Unbekannt,172,85,Oft,53,70958,98603,Nein
Unbekannt,178,63,Nein,40,77003,41823,Ja
Unbekannt,173,92,Nein,59,17029,106782,Ja
Unbekannt,151,65,Gelegentlich,64,22964,50184,Ja
Unbekannt,184,59,Gelegentlich,68,67940,39386,Nein
Unbekannt,164,87,Oft,65,64677,59326,Ja
Unbekannt,181,64,Gelegentlich,53,14010,57426,Ja
Unbekannt,169,77,Nein,34,58198,69465,Nein
Unbekannt,178,67,Nein,27,65426,102108,Nein
Unbekannt,190,56,Oft,28,61734,45462,Nein
Unbekannt,179,101,Gelegentlich,36,73276,81154,Nein
Unbekannt,166,107,Nein,34,70130,79707,Ja
Unbekannt,174,81,Nein,53,62694,34583,Nein
Unbekannt,197,76,Nein,69,50854,50107,Nein
Unbekannt,195,76,Nein,73,82130,56992,Nein
Unbekannt,195,72,Oft,62,76428,23968,Nein
Unbekannt,200,103,Nein,41,78569,33463,Nein
Unbekannt,189,111,Gelegentlich,62,39414,48902,Ja
Unbekannt,152,68,Nein,68,11606,74377,Nein
Unbekannt,201,93,Nein,27,53200,75129,Ja
Unbekannt,174,81,Oft,36,38330,41487,Ja
Unbekannt,177,79,Oft,59,73867,63823,Nein
Unbekannt,155,103,Nein,37,67123,36589,Ja
Unbekannt,190,84,Nein,48,35175,77639,Ja
Unbekannt,187,69,Gelegentlich,58,24031,84167,Ja
Unbekannt,178,96,Nein,57,37590,90359,Nein
Unbekannt,188,80,Nein,66,29205,93838,Nein
Unbekannt,185,79,Nein,44,70816,107041,Nein
Unbekannt,182,108,Nein,66,56330,24410,Nein
Unbekannt,155,64,Nein,65,41218,54864,Ja
Unbekannt,170,57,Gelegentlich,32,44541,99174,Nein
Unbekannt,171,80,Gelegentlich,71,41312,77634,Nein
Unbekannt,185,109,Oft,52,67503,90575,Nein
Unbekannt,171,97,Nein,42,62569,90221,Nein
Unbekannt,179,73,Nein,43,51664,80443,Ja
Unbekannt,182,65,Nein,49,60881,62468,Ja
Unbekannt,172,111,Nein,25,79992,71381,Nein
Unbekannt,193,104,Oft,43,11843,69221,Ja
Unbekannt,179,94,Nein,63,13258,80612,Ja
Unbekannt,192,71,Oft,68,23326,57633,Nein
Unbekannt,167,107,Oft,38,78343,102515,Nein
Unbekannt,194,71,Nein,43,28133,93488,Nein
Unbekannt,162,104,Nein,41,36120,61040,Ja
Unbekannt,157,79,Nein,28,48088,49196,Ja
Unbekannt,155,61,Nein,54,31675,95624,Ja
Unbekannt,159,108,Oft,67,64827,45262,Ja
Unbekannt,191,102,Gelegentlich,69,75885,26170,Nein
Unbekannt,199,108,Nein,25,30265,99200,Nein
Unbekannt,161,92,Gelegentlich,63,60306,87028,Nein
Unbekannt,190,111,Oft,28,41476,29885,Ja
Unbekannt,152,91,Nein,32,45161,42316,Ja
Unbekannt,157,80,Nein,44,38710,103823,Ja
Unbekannt,160,72,Gelegentlich,73,54439,29256,Nein
Unbekannt,197,102,Nein,56,73704,87805,Nein
Unbekannt,178,108,Nein,29,72166,70797,Nein
Unbekannt,153,109,Nein,46,75243,101959,Nein
Unbekannt,195,65,Oft,34,36453,42553,Ja
Unbekannt,199,66,Nein,68,33983,68087,Nein
Unbekannt,175,109,Oft,38,50300,59936,Ja
Unbekannt,173,91,Nein,30,71863,87308,Nein
Unbekannt,182,87,Gelegentlich,31,11241,108023,Nein
Unbekannt,163,92,Nein,35,74109,106930,Nein
Unbekannt,186,111,Gelegentlich,31,40001,60639,Ja
Unbekannt,200,102,Gelegentlich,25,58171,47451,Nein
Unbekannt,159,107,Gelegentlich,45,53429,31385,Ja
Unbekannt,183,87,Nein,36,61855,33816,Ja
Unbekannt,183,74,Oft,36,71308,56796,Nein
Unbekannt,183,81,Gelegentlich,55,79422,23776,Nein
Unbekannt,200,71,Nein,68,24331,103052,Nein
Unbekannt,170,64,Nein,65,23978,42745,Ja
Unbekannt,164,99,Nein,26,66969,56495,Ja
Unbekannt,174,90,Gelegentlich,75,67020,30764,Nein
Unbekannt,157,68,Nein,73,65345,87180,Nein
Unbekannt,169,82,Nein,45,37050,31665,Ja
Unbekannt,190,101,Oft,32,11131,26604,Ja
Unbekannt,166,89,Gelegentlich,55,68958,99487,Nein
Unbekannt,188,107,Gelegentlich,42,72197,66915,Nein
Unbekannt,183,98,Nein,36,74110,75570,Nein
Unbekannt,193,101,Nein,63,40289,45013,Ja
Unbekannt,177,97,Oft,74,41686,94996,Nein
Unbekannt,170,103,Oft,50,54802,86213,Nein
Unbekannt,182,90,Nein,61,42884,26913,Ja
Unbekannt,181,90,Oft,43,27857,68275,Ja
Unbekannt,178,57,Nein,64,39248,88489,Ja
Unbekannt,188,88,Nein,33,77515,25096,Nein
Unbekannt,170,104,Nein,27,23402,94694,Nein
Unbekannt,157,81,Nein,26,21290,69027,Ja
Unbekannt,169,75,Nein,29,81003,80379,Ja
Unbekannt,192,61,Oft,37,34831,64969,Ja
Unbekannt,196,106,Gelegentlich,62,62782,52955,Ja
Unbekannt,168,81,Gelegentlich,74,77391,36887,Nein
Unbekannt,152,106,Gelegentlich,33,46400,58586,Ja
Unbekannt,152,86,Nein,72,47271,83607,Nein
Unbekannt,193,81,Nein,41,50713,34766,Ja
Unbekannt,198,57,Nein,46,37665,106946,Nein
Unbekannt,189,71,Nein,27,69572,73264,Ja
Unbekannt,199,101,Gelegentlich,26,40528,36238,Ja
Unbekannt,176,68,Oft,55,61072,44143,Ja
Unbekannt,179,92,Gelegentlich,37,19765,97790,Nein
Unbekannt,184,95,Nein,52,12747,92779,Nein
Unbekannt,200,61,Nein,26,69820,33834,Ja
Unbekannt,196,97,Nein,66,60113,47776,Nein
Unbekannt,152,111,Oft,44,49492,52524,Ja
Unbekannt,180,98,Nein,72,46001,38863,Nein
Unbekannt,187,68,Nein,28,29861,93216,Ja
Unbekannt,159,66,Nein,33,51991,33624,Ja
Unbekannt,153,107,Nein,59,10832,54929,Ja
Unbekannt,178,71,Gelegentlich,28,61941,80740,Ja
Unbekannt,153,67,Nein,70,67040,84316,Nein
Unbekannt,176,80,Gelegentlich,35,63796,33244,Ja
Unbekannt,162,107,Nein,28,42284,89476,Ja
Unbekannt,175,67,Nein,47,30345,94550,Nein
Unbekannt,184,96,Oft,72,62806,75787,Nein
Unbekannt,153,99,Nein,30,22456,107303,Nein
Unbekannt,194,71,Nein,54,50615,85874,Ja
Unbekannt,153,73,Nein,67,81600,32244,Nein
Unbekannt,183,110,Nein,74,17652,42152,Nein
Unbekannt,176,68,Gelegentlich,35,22955,68770,Ja
Unbekannt,180,77,Nein,31,11798,42371,Ja
Unbekannt,195,93,Oft,61,14445,36325,Ja
Unbekannt,160,77,Gelegentlich,40,57422,73093,Ja
Unbekannt,161,94,Oft,47,23345,34377,Ja
Unbekannt,158,111,Nein,29,22432,80342,Nein
Unbekannt,192,93,Gelegentlich,50,42252,48195,Ja
Unbekannt,188,95,Nein,39,14604,56218,Ja
Unbekannt,196,70,Nein,70,25522,48149,Ja
Unbekannt,159,105,Nein,47,73797,82250,Nein
Unbekannt,172,99,Oft,29,55148,71484,Nein
Unbekannt,182,64,Nein,35,65759,98747,Nein
Unbekannt,181,70,Nein,53,34794,82664,Ja
Unbekannt,166,87,Nein,41,41857,62221,Ja
Unbekannt,190,85,Gelegentlich,45,55796,95672,Nein
Unbekannt,170,111,Nein,54,37820,65362,Ja
Unbekannt,200,100,Oft,46,68588,100853,Nein
Unbekannt,161,70,Oft,63,78847,87575,Nein
Unbekannt,190,61,Nein,69,25633,59355,Nein
Unbekannt,193,101,Nein,37,51224,32447,Ja
Unbekannt,174,95,Oft,28,74404,79882,Nein
Unbekannt,185,108,Nein,47,70194,83867,Nein
Unbekannt,191,79,Oft,27,18500,102049,Nein
Unbekannt,163,70,Nein,67,34347,23156,Nein
Unbekannt,189,97,Nein,36,66947,73060,Ja
Unbekannt,197,79,Nein,60,43201,70363,Ja
Unbekannt,201,86,Nein,64,29983,92038,Nein
Unbekannt,195,65,Nein,60,35434,41221,Nein
Unbekannt,176,110,Gelegentlich,62,51659,68217,Ja
Unbekannt,151,88,Oft,33,30868,36531,Ja
Unbekannt,152,63,Oft,36,60183,39758,Ja
Unbekannt,156,86,Gelegentlich,39,80938,79428,Nein
Unbekannt,190,69,Nein,41,11530,41742,Ja
Unbekannt,179,104,Oft,35,77488,100394,Nein
Unbekannt,187,108,Nein,34,46707,45593,Ja
Unbekannt,162,89,Nein,74,16429,68567,Nein
Unbekannt,152,75,Oft,74,25780,45165,Nein
Unbekannt,157,112,Nein,28,73989,85071,Nein
Unbekannt,183,94,Oft,57,67396,54524,Ja
Unbekannt,152,66,Nein,68,13600,53709,Ja
Unbekannt,198,69,Nein,71,34634,92709,Nein
Unbekannt,201,97,Nein,42,16285,104319,Nein
Unbekannt,170,87,Nein,52,11038,77052,Ja
Unbekannt,196,58,Nein,62,11243,88012,Ja
Unbekannt,181,87,Nein,50,38410,36238,Ja
Unbekannt,193,111,Gelegentlich,27,59751,62058,Ja
Unbekannt,175,96,Oft,44,74172,36757,Nein
Unbekannt,154,110,Nein,46,81451,49949,Nein
Unbekannt,174,106,Nein,32,67995,34377,Ja
Unbekannt,167,88,Gelegentlich,34,65200,65704,Ja
Unbekannt,197,96,Nein,42,29083,37738,Ja
Unbekannt,196,103,Nein,70,45757,106713,Nein
Unbekannt,184,95,Nein,71,63131,71883,Nein
Unbekannt,163,65,Nein,49,63999,85367,Nein
Unbekannt,163,64,Nein,59,77763,46479,Nein
Unbekannt,178,75,Nein,39,25895,52407,Ja
Unbekannt,171,102,Nein,66,36831,33589,Ja
Unbekannt,189,56,Nein,61,22081,56733,Ja
Unbekannt,171,69,Nein,71,52526,67504,Nein
Unbekannt,164,58,Gelegentlich,62,62341,84426,Ja
Unbekannt,168,94,Nein,42,56791,73422,Ja
Unbekannt,198,104,Oft,28,30156,38085,Ja
Unbekannt,170,99,Gelegentlich,52,15698,41962,Ja
Unbekannt,175,88,Nein,56,56979,97959,Nein
Unbekannt,163,71,Nein,52,32056,105953,Ja
Unbekannt,178,107,Nein,72,69020,99504,Ja
Unbekannt,162,103,Oft,27,38891,24015,Ja
Unbekannt,166,108,Nein,33,17665,100535,Nein
Unbekannt,178,106,Gelegentlich,60,27662,86523,Nein
Unbekannt,176,99,Nein,45,70521,32561,Nein
Unbekannt,176,90,Oft,40,18914,83690,Ja
Unbekannt,197,98,Nein,62,58165,102893,Nein
Unbekannt,188,73,Nein,30,39778,90365,Nein
Unbekannt,196,96,Nein,62,72632,90214,Ja
Unbekannt,191,106,Oft,61,11469,72099,Ja
Unbekannt,173,58,Nein,34,20945,72523,Ja
Unbekannt,163,75,Nein,28,33054,44884,Ja
Unbekannt,154,69,Oft,52,38853,94798,Nein
Unbekannt,165,60,Oft,55,75033,44782,Nein
Unbekannt,173,81,Gelegentlich,59,17394,107209,Nein
Unbekannt,174,60,Nein,55,24059,105427,Nein
Unbekannt,200,107,Oft,49,35897,89106,Ja
Unbekannt,197,81,Gelegentlich,59,27912,75844,Ja
Unbekannt,181,86,Gelegentlich,47,49101,63617,Ja
Unbekannt,180,110,Oft,53,30315,96202,Nein
Unbekannt,157,101,Nein,61,41802,53986,Ja
Unbekannt,171,85,Nein,67,65911,30890,Nein
Unbekannt,198,74,Nein,74,34577,45322,Nein
Unbekannt,162,103,Gelegentlich,66,61289,85090,Nein
Unbekannt,160,59,Oft,27,66298,42905,Ja
Unbekannt,168,67,Gelegentlich,42,48759,59913,Ja
Unbekannt,182,72,Nein,65,79959,40153,Nein
Unbekannt,173,97,Gelegentlich,60,59627,90315,Nein
Unbekannt,172,88,Gelegentlich,54,16656,49148,Ja
Unbekannt,165,91,Gelegentlich,57,23436,31804,Ja
Unbekannt,196,70,Gelegentlich,49,30237,64649,Ja
Unbekannt,185,65,Oft,36,39889,74139,Ja
Unbekannt,156,69,Nein,68,20159,53534,Nein
Unbekannt,155,61,Nein,25,76087,46845,Nein
Unbekannt,152,104,Nein,74,69713,97406,Ja
Unbekannt,197,105,Nein,60,48635,73013,Ja
Unbekannt,169,95,Nein,58,56798,71065,Nein
Unbekannt,172,69,Gelegentlich,65,22962,60919,Ja
Unbekannt,180,90,Gelegentlich,58,32718,48917,Ja
Unbekannt,160,73,Gelegentlich,67,14741,60093,Nein
Unbekannt,152,81,Oft,42,52821,76468,Ja
Unbekannt,184,65,Nein,61,30378,27410,Ja
Unbekannt,174,69,Gelegentlich,28,81108,28943,Nein
Unbekannt,161,58,Nein,36,82687,108386,Nein
Unbekannt,161,73,Oft,36,26240,75733,Ja
Unbekannt,186,83,Gelegentlich,49,66457,25090,Ja
Unbekannt,188,75,Gelegentlich,31,68339,71626,Ja
Unbekannt,178,102,Gelegentlich,31,60088,52340,Ja
Unbekannt,177,64,Oft,74,71717,66699,Nein
Unbekannt,171,61,Oft,61,22848,39509,Ja
Unbekannt,179,107,Nein,31,61811,67771,Ja
Unbekannt,188,107,Oft,60,18738,62404,Ja
Unbekannt,166,69,Nein,66,49030,49433,Nein
Unbekannt,190,84,Nein,72,57001,43999,Nein
Unbekannt,155,87,Nein,64,24380,33472,Ja
Unbekannt,175,92,Oft,49,22365,44317,Ja
Unbekannt,171,88,Oft,70,74273,40722,Nein
Unbekannt,197,86,Gelegentlich,53,72754,88890,Nein
Unbekannt,172,107,Oft,68,69166,95649,Nein
Unbekannt,198,57,Gelegentlich,74,53051,75654,Nein
Unbekannt,171,68,Nein,74,35983,44007,Nein
Unbekannt,163,89,Oft,51,21112,52518,Ja
Unbekannt,195,98,Gelegentlich,36,32252,96442,Nein
Unbekannt,176,85,Gelegentlich,41,11622,36353,Ja
Unbekannt,172,110,Nein,62,71920,88531,Nein
Unbekannt,179,111,Nein,66,74317,70880,Ja
Unbekannt,163,101,Nein,31,64288,39892,Ja
Unbekannt,164,97,Nein,55,29182,47934,Ja
Unbekannt,161,65,Gelegentlich,46,77972,28099,Nein
Unbekannt,180,104,Gelegentlich,52,65597,101868,Ja
Unbekannt,193,59,Gelegentlich,58,66520,87629,Ja
Unbekannt,194,92,Oft,30,18441,43732,Ja
Unbekannt,183,81,Oft,54,41790,100840,Nein
Unbekannt,200,57,Nein,59,10073,38705,Ja
Unbekannt,200,64,Gelegentlich,56,16114,92218,Nein
Unbekannt,185,91,Oft,52,46178,80660,Ja
Unbekannt,190,108,Nein,44,53091,100663,Nein
Unbekannt,168,92,Gelegentlich,59,13434,35749,Nein
Unbekannt,190,108,Gelegentlich,47,14577,34739,Ja
Unbekannt,153,97,Gelegentlich,43,26989,83919,Ja
Unbekannt,169,77,Oft,39,74645,71025,Nein
Unbekannt,169,76,Nein,27,11387,74781,Ja
Unbekannt,157,108,Nein,67,33083,84383,Nein
Unbekannt,200,79,Gelegentlich,66,74449,44423,Nein
Unbekannt,172,57,Gelegentlich,27,24317,67030,Ja
Unbekannt,171,61,Nein,73,76610,103457,Nein
Unbekannt,190,96,Gelegentlich,72,16698,54966,Nein
Unbekannt,173,106,Nein,63,11042,32283,Ja
Unbekannt,180,102,Nein,66,50355,99650,Nein
Unbekannt,184,83,Nein,64,69621,67927,Ja
Unbekannt,153,71,Gelegentlich,50,80489,39429,Nein
Unbekannt,171,82,Oft,35,23218,41621,Ja
Unbekannt,199,95,Oft,25,35857,74448,Ja
Unbekannt,181,99,Gelegentlich,29,46941,25820,Ja
Unbekannt,198,112,Oft,53,71147,79568,Nein
Unbekannt,198,96,Gelegentlich,48,48875,104562,Nein
Unbekannt,189,82,Nein,74,66528,94472,Nein
Unbekannt,178,85,Nein,72,42684,102654,Ja
Unbekannt,192,76,Nein,65,54216,89849,Ja
Unbekannt,152,83,Nein,70,13463,43808,Nein
Unbekannt,188,96,Nein,41,73410,37839,Nein
Unbekannt,156,102,Oft,47,68610,99364,Nein
Unbekannt,153,97,Oft,72,44725,70258,Nein
Unbekannt,160,109,Oft,54,35107,105861,Nein
Unbekannt,175,76,Nein,61,16656,70491,Ja
Unbekannt,151,93,Nein,58,39009,103910,Ja
Unbekannt,194,106,Gelegentlich,32,44120,83539,Ja
Unbekannt,175,95,Nein,35,69957,28164,Ja
Unbekannt,158,99,Gelegentlich,67,11536,35251,Ja
Unbekannt,163,87,Nein,41,36890,71638,Ja
Unbekannt,154,60,Nein,63,74122,97659,Nein
Unbekannt,161,88,Gelegentlich,75,51645,27902,Nein
Unbekannt,174,67,Nein,41,24288,57406,Ja
Unbekannt,174,85,Oft,36,18566,57565,Ja
Unbekannt,169,109,Oft,30,77275,92137,Ja
Unbekannt,173,63,Oft,71,59536,97936,Nein
Unbekannt,167,110,Oft,58,26225,97088,Ja
Unbekannt,180,104,Oft,29,77441,60490,Nein
Unbekannt,201,59,Gelegentlich,32,62381,96924,Nein
Unbekannt,187,101,Oft,30,37464,52856,Ja
Unbekannt,169,71,Nein,72,28706,76076,Nein
Unbekannt,180,57,Nein,74,35733,61395,Nein
Unbekannt,170,76,Gelegentlich,25,61291,42657,Ja
Unbekannt,170,91,Gelegentlich,55,57814,92351,Nein
